Material;Location;cost [USD/Kg]
KAKARO;BEEX;2,806891667
KAKARO;TRTU;2,852609091
NATURO;RSKR;2,186872727
NATURO;SIS1;2,19038
NATURO;TRTU;2,20163931
NATURO;TRTZ;2,200635
NATURO;ZASA;2,296752381
NATURO1;BEEX;2,15062037
NATURO1;DEF2;2,213997143
NATURO2;BEEX;2,184511111
NATURO3;BEEX;2,458
NEUDRO;SIS1;2,197905882
NEUDRO;TRTU;2,19696
NEUDRO;ZASA;2,254542857
NEUDRO1;BEEX;2,167081481
NEUDRO1;DEF2;2,204493333
NEUDRO3;BEEX;2,2563625
NEUDRO3;FRA1;2,203724138
NEUDRO8;BEEX;2,190775
NOKANDO;RSKR;2,154764286
NOKANDO;TRTU;2,115102273
NOKANDO;TRTZ;2,10224878
NOKANDO2;BEEX;2,063953275
NOKANDO2;DEF2;2,101355556
NOKANDO2;SIS1;2,112904444
NOKANDO4;BEEX;2,089125
NOKANDO4;RSKR;2,12085
NOKANDO4;SIS1;2,086433333
NOKANDO4;TRTZ;2,129012381
NOKANDO4;ZASA;2,0721
NOKANDO6;BEEX;2,001471429
