Material ID,Plant ID,Month/Year,Stock,in/transit,Open PO
KAKARO,LUL1,02/01/25,0,0,0
KAKARO,BEEX,02/01/25,192000,0,0
KAKARO,TRTU,02/01/25,38400,0,0
KAKARO,TRTU,03/01/25,51600,0,0
KAKARO,BEEX,03/01/25,652800,0,0
KAKARO,LUL1,03/01/25,0,0,0
KAKARO,TRTZ,04/01/25,1498,0,0
KAKARO,DEW1,04/01/25,0,0,0
KAKARO,TRTU,04/01/25,51600,0,0
KAKARO,BEEX,04/01/25,748800,0,0
KAKARO,LUL1,04/01/25,0,0,0
KAKARO,TRTU,05/01/25,86232,0,0
KAKARO,SIS1,05/01/25,6800,0,0
KAKARO,BEEX,05/01/25,667200,0,0
KAKARO,DEW1,05/01/25,48000,0,0
KAKARO,LUL1,05/01/25,0,0,0
KAKARO,FRM1,05/01/25,0,0,0
KAKARO,SIS1,06/01/25,6000,0,0
KAKARO,DEW1,06/01/25,0,0,0
KAKARO,FRM1,06/01/25,0,0,0
KAKARO,LUL1,06/01/25,0,0,0
KAKARO,BEEX,06/01/25,627600,0,0
KAKARO,TRTU,06/01/25,8200,0,0
KAKARO,TRTZ,06/01/25,5313,0,0
KAKARO,DEW1,07/01/25,0,0,0
KAKARO,TRTZ,07/01/25,0,0,0
KAKARO,FRM1,07/01/25,19200,0,0
KAKARO,TRTU,07/01/25,0,0,0
KAKARO,LUEX,07/01/25,201600,0,0
KAKARO,BEEX,07/01/25,397200,0,0
KAKARO,SIS1,07/01/25,6000,0,0
KAKARO,LUL1,07/01/25,0,0,0
KAKARO,ZASA,07/01/25,0,1200,0
KAKARO,TRTZ,08/01/25,0,0,0
KAKARO,DEW1,08/01/25,0,0,0
KAKARO,LUL1,08/01/25,0,0,0
KAKARO,TRTU,08/01/25,115200,0,0
KAKARO,LUEX,08/01/25,184800,0,0
KAKARO,BEEX,08/01/25,378000,0,0
KAKARO,SIS1,08/01/25,4800,0,0
KAKARO,FRM1,08/01/25,19200,0,0
KAKARO,LUEX,09/01/25,328800,0,0
KAKARO,TRTU,09/01/25,105615,0,0
KAKARO,BEEX,09/01/25,243600,0,0
KAKARO,TRTZ,09/01/25,28628,0,0
KAKARO,SIS1,09/01/25,4730,0,0
KAKARO,FRM1,09/01/25,42000,0,0
KAKARO,DEW1,09/01/25,57600,0,0
KAKARO,LUL1,09/01/25,0,0,0
KAKARO,LUEX,10/01/25,217200,0,0
KAKARO,PLPL,10/01/25,19200,0,0
KAKARO,TRTU,10/01/25,77400,0,0
