Regione,Coefficiente_Costo_Vita,PIL_Pro_Capite,Costo_Medio_Abitazione,Note
Lombardia,1.15,43500,2800,"Milano e area metropolitana hanno i costi più elevati"
Lazio,1.12,37800,2400,"Roma capitale, costi elevati nel centro"
Trentino-Alto Adige,1.10,48200,2200,"Alto tenore di vita, turismo sviluppato"
Emilia-Romagna,1.08,38900,1900,"Economia sviluppata, buona qualità vita"
Veneto,1.05,35400,1700,"Nordest produttivo, costi moderati"
Piemonte,1.04,33200,1600,"Torino e provincia, industria manifatturiera"
Liguria,1.03,32800,1800,"Genova e costa, turismo e commercio"
Friuli-Venezia Giulia,1.02,33500,1500,"Area di confine, economia stabile"
Toscana,1.02,33000,1700,"Firenze e turismo, costi medio-alti"
Marche,0.98,28900,1300,"Centro Italia, costi moderati"
Valle d'Aosta,1.05,40200,1600,"Piccola regione, costi montagna"
Umbria,0.96,26800,1200,"Centro Italia, economia agricola e turistica"
Abruzzo,0.94,25600,1100,"Centro-Sud, costi contenuti"
Sardegna,0.95,21400,1200,"Isola, economia turistica"
Campania,0.92,20300,1400,"Napoli metropolitana, forti divari interni"
Puglia,0.90,19800,1000,"Sud, costi vita bassi, economia in crescita"
Sicilia,0.89,18900,950,"Isola più grande, costi bassi"
Basilicata,0.88,21100,850,"Regione piccola, costi molto bassi"
Calabria,0.87,18200,800,"Sud Italia, costi vita più bassi"
Molise,0.86,20500,750,"Regione più piccola, costi minimi"
