To_Location,From_Location,Product,Lead_Time_Days,Lead_Time_Std_Dev,,
BEEX,B616,KAKARO,137,32,,
PLPL,B616,KAKARO,3,1,,
RSKR,B616,KAKARO,157,28.48,,
SIS1,B616,KAKARO,157,26.15,,
TRTU,B616,KAKARO,160,26.33,,
TRTZ,B616,KAKARO,160,22.4,,
ZASA,B616,KAKARO,116,8,,
DEW1,BEEX,KAKARO,4.7,2.56,,
LUEX,BEEX,KAKARO,4.2,1.5,,
DEH1,DEW1,KAKARO,8.5,3.34,,
DEF1,LUEX,KAKARO,8.4,5.14,,
DEF2,LUEX,KAKARO,5.8,2.38,,
FRA1,LUEX,KAKARO,15.5,10.6,,
FRM1,LUEX,KAKARO,9.7,5.86,,
GBE1,LUEX,KAKARO,10,1.41,,
GBM1,LUEX,KAKARO,10,1.41,,
LUGI,LUEX,KAKARO,0.8,1.47,,
LUL1,LUEX,KAKARO,0.8,1.47,,
BEEX,B616,KINO,137,32.4,,
PLPL,B616,KINO,3,1,,
RSKR,B616,KINO,157,28.48,,
SIS1,B616,KINO,157,26.15,,
TRTU,B616,KINO,160,26.33,,
TRTZ,B616,KINO,160,22.4,,
ZASA,B616,KINO,116,8,,
DEW1,BEEX,KINO,4.7,2.56,,
LUEX,BEEX,KINO,4.2,1.5,,
DEH1,DEW1,KINO,8.5,3.34,,
DEF1,LUEX,KINO,8.4,5.14,,
DEF2,LUEX,KINO,5.8,2.38,,
FRA1,LUEX,KINO,15.5,10.6,,
FRM1,LUEX,KINO,9.7,5.86,,
GBE1,LUEX,KINO,10,1.41,,
GBM1,LUEX,KINO,10,1.41,,
LUGI,LUEX,KINO,0.8,1.47,,
LUL1,LUEX,KINO,0.8,1.47,,
BEEX,B616,KOKOMO,137,32.4,,
PLPL,B616,KOKOMO,3,1,,
RSKR,B616,KOKOMO,157,28.48,,
SIS1,B616,KOKOMO,157,26.15,,
TRTU,B616,KOKOMO,160,26.33,,
TRTZ,B616,KOKOMO,160,22.4,,
ZASA,B616,KOKOMO,116,8,,
DEW1,BEEX,KOKOMO,4.7,2.56,,
LUEX,BEEX,KOKOMO,4.2,1.5,,
DEH1,DEW1,KOKOMO,8.5,3.34,,
DEF1,LUEX,KOKOMO,8.4,5.14,,
DEF2,LUEX,KOKOMO,5.8,2.38,,
FRA1,LUEX,KOKOMO,15.5,10.6,,
FRM1,LUEX,KOKOMO,9.7,5.86,,
GBE1,LUEX,KOKOMO,10,1.41,,
GBM1,LUEX,KOKOMO,10,1.41,,
LUGI,LUEX,KOKOMO,0.8,1.47,,
LUL1,LUEX,KOKOMO,0.8,1.47,,
BEEX,B616,NABO,137,32.4,,
PLPL,B616,NABO,3,1,,
RSKR,B616,NABO,157,28.48,,
SIS1,B616,NABO,157,26.15,,
TRTU,B616,NABO,160,26.33,,
TRTZ,B616,NABO,160,22.4,,
ZASA,B616,NABO,116,8,,
DEW1,BEEX,NABO,4.7,2.56,,
LUEX,BEEX,NABO,4.2,1.5,,
DEH1,DEW1,NABO,8.5,3.34,,
